OID_,Lion,GMT_Date,GMT_Time,Latitude,Longitude,Date_Time,LongitudeU,LatitudeUT
,F62b,1/28/2012 0:00:00,14:45,33.580971400000003,-117.538491100000000,1/28/2012 0:00:00,450028.382456000020000,3715826.388139999900000
,F62b,1/28/2012 0:00:00,14:50,33.581059600000003,-117.538468700000000,1/28/2012 0:00:00,450030.512020000020000,3715836.156270000200000
,F62b,1/28/2012 0:00:00,14:56,33.581023000000002,-117.538449200000000,1/28/2012 0:00:00,450032.300532000020000,3715832.088940000200000
,F62b,1/28/2012 0:00:00,15:01,33.581184100000002,-117.538706600000000,1/28/2012 0:00:00,450008.506614000010000,3715850.074680000100000
,F62b,1/28/2012 0:00:00,15:06,33.581980399999999,-117.538697400000000,1/28/2012 0:00:00,450009.819528999970000,3715938.357929999900000
,F62b,1/28/2012 0:00:00,15:10,33.582905500000003,-117.539218400000000,1/28/2012 0:00:00,449962.005026000030000,3716041.177579999900000
,F62b,1/28/2012 0:00:00,15:15,33.583609000000003,-117.539273900000000,1/28/2012 0:00:00,449957.260813999980000,3716119.203150000000000
,F62b,1/28/2012 0:00:00,15:20,33.584028300000000,-117.539682400000000,1/28/2012 0:00:00,449919.595227000010000,3716165.889409999800000
,F62b,1/28/2012 0:00:00,15:26,33.584395600000001,-117.539584000000000,1/28/2012 0:00:00,449928.938618000010000,3716206.565289999800000
,F62b,1/28/2012 0:00:00,15:30,33.584403000000002,-117.539576900000000,1/28/2012 0:00:00,449929.601749000020000,3716207.382309999800000
,F62b,1/28/2012 0:00:00,15:36,33.584426800000003,-117.539579900000010,1/28/2012 0:00:00,449929.337104999980000,3716210.022530000200000
,F62b,1/28/2012 0:00:00,15:40,33.584389299999998,-117.539603099999990,1/28/2012 0:00:00,449927.162560999980000,3716205.876029999900000
,F62b,1/28/2012 0:00:00,15:45,33.584425899999999,-117.539644600000000,1/28/2012 0:00:00,449923.332638000020000,3716209.954020000100000
,F62b,1/28/2012 0:00:00,15:50,33.584442400000000,-117.539630399999990,1/28/2012 0:00:00,449924.659883000010000,3716211.776550000100000
,F62b,1/28/2012 0:00:00,16:06,33.584415300000003,-117.539649500000000,1/28/2012 0:00:00,449922.871810999990000,3716208.781140000100000
,F62b,1/28/2012 0:00:00,16:15,33.584538100000003,-117.539545300000000,1/28/2012 0:00:00,449932.612153999970000,3716222.345910000100000
,F62b,1/28/2012 0:00:00,16:25,33.584420500000000,-117.539597700000000,1/28/2012 0:00:00,449927.681685000020000,3716209.332640000200000
,F62b,1/28/2012 0:00:00,16:36,33.584433099999998,-117.539654600000010,1/28/2012 0:00:00,449922.408829999970000,3716210.757139999900000
,F62b,1/28/2012 0:00:00,16:40,33.584351200000000,-117.539675399999990,1/28/2012 0:00:00,449920.431344999990000,3716201.686739999800000
